Оперативная память;Kingston;KHX1600C9AD3B1/2G;57779;DIMM 2048Mb DDR3  PC3-12800 Kingston, 1600MHz, 256 x 64, Non-ECC, CL9-9-9-27, HyperX Blu;14,9;15,5;16;19;*;*;60;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Kingston
Оперативная память;Kingston;KHX1600C9AD3/2G;58278;DIMM 2048Mb DDR3  PC3-12800 Kingston, 1600MHz, 256 x 64, Non-ECC, CL9-9-9-27, HyperX, w/Heat Sink;15,8;16;16,5;19;*;*;60;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Kingston
Оперативная память;Kingston;KHX1333C9D3B1/2G;79195;DIMM 2048Mb DDR3  PC3-10600 Kingston, DDR1333MHz CL9 (9-9-9-27) Blu HyperX;14;14,5;15;18;*;*;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston Blu HyperX
Оперативная память;Patriot;PSD32G16002;53621;DIMM 2048Mb DDR3  PC3-12800 Patriot, 1600MHz;12,5;13;15;16;-;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Patriot
Оперативная память;Patriot;PSD32G16002H;56573;DIMM 2048Mb DDR3  PC3-12800 Patriot with Heatshield, 1600MHz;13;14;15;17;r;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Patriot Heatshield
Оперативная память;Silicon Power;SP002GBLTU160S02;58737;DIMM 2048Mb DDR3  PC3-12800 Silicon Power 1600Mhz, 256Mx64, CL9, 1.5V, box;12;12,5;13;15;*;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Silicon Power
Оперативная память;Exceleram;E30131B;77853;DIMM 2048Mb DDR3  PC3-12800 Exceleram 9-9-9-24 1.65V;12,3;13;14;17;-;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Exceleram
Оперативная память;Patriot;AE32G1339U1-U;82737;DIMM 2048Mb DDR3  PC3-10600 AMD ENTERTAINMENT HeatShield (box);12,3;13;14;17;+;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 AMD ENTERTAINMENT HeatShield (bo
Оперативная память;Team;TED32048M1333C9;76493;DIMM 2048Mb DDR3  PC3-10600 TEAM GROUP Elite ,CL9;11,2;11,5;12;14;-;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600  TEAM GROUP Elite
Оперативная память;Team;TED34096M1333C9;76824;DIMM 4096Mb DDR3  PC3-10600 TEAM GROUP Elite ,CL9,  oem;19,4;19,6;20;23;+;-;24;;;;11298;DIMM 4096Mb DDR3  PC3-10600  TEAM GROUP Elite
Оперативная память;Hynix;MPPU4GBPC13338C;85467;DIMM 4096Mb DDR3  PC3-10600 Hynix;19,4;19,6;20;23;*;+;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Hynix
Оперативная память;Exceleram;E30136A;77855;DIMM 4096Mb DDR3  PC3-10600  Exceleram  9-9-9-24 1.65V Spirit of Germany;21,5;22;22,3;25;-;-;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Exceleram
Оперативная память;SuperTalent;W1066UX4G7;55376;DIMM 4096Mb (2x2048 kit) DDR3 PC3-8500 SuperTalent (USA) 1066Mhz, 128x8, noECC, noReg, CL7  !!!!;46,5;47;47,5;52;+;-;60;;;;11298;DIMM 4096Mb DDR3 kit PC3-8500 SuperTalent
Оперативная память;Samsung;M378B5173BH0-CH9;84922;DIMM 4096Mb DDR3  PC3-10600 Samsung  Original;23;23,5;24;27;+;-;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Samsung  Original
Оперативная память;PNY;D4GBN16M1333H-SB;77958;DIMM 4096Mb DDR3 PC3-10600  PNY (box) 1333MHz;17,8;18;19;23;-;-;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 PNY (box)
Оперативная память;Patriot;AE34G1339U2;80663;DIMM 4096Mb DDR3 PC3-10600 AMD with heat sink;19,85;20;21;24;-;+;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 AMD with heat sink
Оперативная память;Kingston;KHX1333C7AD3/4G;79196;DIMM 4096Mb DDR3 PC3-10600 Kingston, 1333MHz, CL7 (7-7-7-20) HyperX;35;35,5;36;40;-;-;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Kingston HyperX
Оперативная память;Hynix;HMT351U6CFR8C-H9;76935;DIMM 4096Mb DDR3 PC3-10600 Hynix, 1333MHz Original;21,7;22;23;25;+;+;24;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Hynix
Оперативная память;Team;TED34096M1333HC9;78624;DIMM 4096Mb DDR3 PC3-10600 TEAM GROUP   1333МГц CL9, Retail;18,4;19,5;20;22;+;+;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 TEAM GROUP
Оперативная память;Exceleram;E30112A;66987;DIMM 4096Mb DDR3  PC3-10600 Exceleram 1333Mhz, CL 9-9-9-24, 1.5V;19;19,5;20;24;-;+;60;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Exceleram
Оперативная память;GoodRam;GR1333D364L9/4G;57957;DIMM 4096Mb DDR3 PC3-10600 GoodRam, 1333MHz;19;19,5;20;25;-;-;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 GoodRam
Оперативная память;Kingston;KVR1333D3N9/4G;55323;DIMM 4096Mb DDR3 PC3-10600 Kingston, 1333MHz, 512M x 64, CL9, Non-ECC, Retail;22,8;24;24,5;27;+;+;60;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Kingston
Оперативная память;Kingston;KVR1333D3N9/4G-SPBK;66522;DIMM 4096Mb DDR3 PC3-10600 Kingston, 1333MHz, 512M x 64, CL9, Non-ECC, Bulk;22;23;24;27;-;-;60;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Kingston
Оперативная память;Kingston;KVR1333D3N9/4GBK;62537;DIMM 4096Mb DDR3 PC3-10600 Kingston, 1333MHz, 512M x 64, CL9, Non-ECC, Bulk;23;24;24,7;27;+;+;60;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Kingston
Оперативная память;Mustang;M651264139X9ND;71005;DIMM 4096Mb DDR3 PC3-10600 Mustang BlackLine, 1333MHz;17,5;18;19;22;+;+;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Mustang
Оперативная память;NCP;NCPH9AUDR-13MA8;61141;DIMM 4096Mb DDR3  PC3-10600 NCP, 1333MГц;17,7;18;19;22;+;+;24;;;;11298;DIMM 4096Mb DDR3  PC3-10600 NCP
Оперативная память;Patriot;PSD34G13332;60123;DIMM 4096Mb DDR3 PC3-10600 Patriot, 1333MHz, CL9, Non-ECC, unBuff, 1.5 V, box;19,6;20;21;24;+;+;36;;;;11298;DIMM 4096Mb DDR3  PC3-10600 Patriot
